initial_morale,morale,experience,gain,initial_stat,energy,statType
334,5,3,4.71,13669.57,5,
399,132,80,146.05,13674.33,150,
163,21,14,23.11,13821.84,25,
323,138,82,143.98,13845.18,150,
2457,134,67,169.97,4444.44,150,
299,132,63,143.38,13990.6,150,agility
187,10,5,9.24,14135.41,10,agility
1687,134,64,134.53,4616.11,150,strength
400,333,16,31.47,14144.75,35,agility
400,135,63,150.36,14176.53,150,agility
306,118,67,127.42,14328.4,130,agility
1700,133,86,137.87,4899.3,150,strength
400,372,36,72.77,14457.09,80,agility
140,140,66,137.75,14530.59,150,agility
2415,135,85,170.78,4560.51,150,speed
390,133,88,154.18,14669.71,150,agility
1804,134,69,143.56,5038.55,150,strength
400,132,85,155.49,14825.44,150,agility
1616,138,63,136.75,5183.54,150,strength
1431,4,3,7.27,14982.48,5,agility
400,313,6,14.22,14989.82,15,agility
102,102,73,138.99,15004.19,150,agility
444,139,72,160.14,15144.57,150,agility
319,14,7,15.94,15306.31,15,agility
305,4,2,5.47,15322.41,5,agility
301,4,2,5.24,15327.93,5,agility
292,5,2,5.25,15333.22,5,agility
287,4,3,5.01,15338.53,5,agility
283,4,2,5.06,15343.59,5,agility
279,5,2,5.4,15348.7,5,agility
294,4,3,5.34,15354.15,5,agility
290,4,2,5.41,15359.54,5,agility
258,5,2,2.52,5321.66,5,strength
253,136,69,150.44,15365.01,150,agility
400,4,2,2.63,5324.2,5,strength
396,5,2,2.89,5326.86,5,strength
391,5,2,2.84,5329.78,5,strength
386,5,3,2.78,5332.65,5,strength
381,4,3,2.65,5335.46,5,strength
377,5,3,2.65,5338.13,5,strength
372,4,2,2.88,5340.81,5,strength
368,4,3,2.59,5343.72,5,strength
364,4,3,2.85,5346.33,5,strength
360,4,3,2.65,5349.21,5,strength
356,4,2,2.65,5351.89,5,strength
352,4,3,1.26,2714.6,5,defense
348,4,3,1.21,2715.88,5,defense
344,4,2,1.23,2717.12,5,defense
340,5,3,1.88,2718.37,5,defense
335,5,2,1.17,2720.29,5,defense
330,4,2,1.67,2721.48,5,defense
326,4,2,1.33,2723.19,5,defense
322,5,2,1.22,2724.54,5,defense
317,4,2,1.22,2725.79,5,defense
313,4,3,1.84,2727.03,5,defense
309,5,2,5.24,15516.95,5,agility
304,5,3,5.41,15522.25,5,agility
299,5,2,5.22,15527.71,5,agility
294,4,3,5.25,15532.98,5,agility
290,5,3,5.46,15538.28,5,agility
285,4,2,5.35,15543.8,5,agility
281,4,2,5.09,15549.2,5,agility
277,5,2,5.39,15554.34,5,agility
272,5,2,5.46,15559.79,5,agility
148,49,31,54.73,15565.3,55,agility
216,125,83,140.34,15620.58,140,agility
400,135,83,162.01,15762.32,150,agility
260,5,3,5.53,15925.95,5,agility
255,5,3,5.44,15931.54,5,agility
250,5,2,5.42,15937.03,5,agility
245,5,3,5.05,15942.51,5,agility
240,4,3,5.43,15947.61,5,agility
236,5,2,5.04,15953.09,5,agility
231,4,3,5.07,15958.18,5,agility
227,4,3,5.1,15963.3,5,agility
223,5,2,5.38,15968.45,5,agility
218,4,2,5.03,15973.89,5,agility
214,5,3,5.12,15978.97,5,agility
209,4,2,5.37,15984.14,5,agility
205,5,2,5.27,15989.56,5,agility
200,5,2,5.33,15994.89,5,agility
195,5,3,5.21,16000.27,5,agility
190,4,3,5.21,16005.53,5,agility
186,4,2,5.27,16010.79,5,agility
182,4,2,4.96,16016.12,5,agility
178,4,3,5.21,16021.13,5,agility
174,5,3,5.15,16026.39,5,agility
169,5,3,5.11,16031.59,5,agility
164,4,2,5.22,16036.75,5,agility
160,4,3,5.35,16042.02,5,agility
156,4,2,5.12,16047.43,5,agility
152,5,3,5.11,16052.6,5,agility
147,5,3,5.16,16057.76,5,agility
3288,133,71,312.13,16062.97,150,agility
