title,artist,rank,popularity,artist_popularity,duration_ms
Bad Day,Daniel Powter,1,78,61,233640
Temperature,Sean Paul,2,85,84,218573
You're Beautiful,James Blunt,4,79,73,209493
Unwritten,Natasha Bedingfield,6,90,76,259333
Crazy,Gnarls Barkley,7,74,64,182066
SexyBack (feat. Timbaland),Justin Timberlake,9,84,84,242733
Be Without You - Kendu Mix,Mary J. Blige,11,71,74,246333
Over My Head (Cable Car),The Fray,13,75,76,236266
Me & U,Cassie,14,80,68,192213
Buttons - Featuring Big Snoop Dogg,The Pussycat Dolls,15,46,72,231293
Run It! (feat. Juelz Santana),Chris Brown,16,80,90,229866
So Sick,Ne-Yo,17,81,83,207186
It's Goin' Down (feat. Nitti),Yung Joc,18,70,66,241840
SOS,Rihanna,19,81,92,238920
I Write Sins Not Tragedies,Panic! At The Disco,20,75,79,186634
Move Along,The All-American Rejects,21,72,69,238880
London Bridge,Fergie,22,69,72,241306
Dani California,Red Hot Chili Peppers,23,80,85,282160
What Hurts The Most,Rascal Flatts,26,73,72,214106
How to Save a Life,The Fray,27,86,76,262533
Unfaithful,Rihanna,28,73,92,226973
Chasing Cars,Snow Patrol,29,85,72,267960
Lips Of An Angel,Hinder,30,78,65,261853
Everytime We Touch,Cascada,31,77,69,197124
Ain't No Other Man,Christina Aguilera,32,64,80,228906
"Dance, Dance",Fall Out Boy,33,79,81,180266
Photograph - 2020 Remaster,Nickelback,38,71,81,258893
Because of You,Kelly Clarkson,39,70,75,219493
Stickwitu,The Pussycat Dolls,40,64,72,207506
My Humps,Black Eyed Peas,42,77,83,326960
Yo (Excuse Me Miss),Chris Brown,44,75,90,229040
Walk Away,Kelly Clarkson,45,51,75,189306
Laffy Taffy,D4L,46,70,53,224253
What You Know,T.I.,47,68,78,274333
Dirty Little Secret,The All-American Rejects,48,74,69,193653
Savin' Me - 2020 Remaster,Nickelback,49,75,81,219293
Don't Forget About Us - KAYTRANADA Remix,Mariah Carey,50,64,80,243125
Sexy Love,Ne-Yo,51,74,83,220853
Far Away - 2020 Remaster,Nickelback,53,75,81,238160
What's Left Of Me,Nick Lachey,54,47,44,244666
Black Horse And The Cherry Tree,KT Tunstall,57,66,64,172373
There It Go (The Whistle Song),Juelz Santana,58,63,67,180493
Bossy Featuring Too $hort (feat. Too $hort),Kelis,64,55,65,274946
Chain Hang Low,Jibbs,65,59,44,207586
One Wish,Ray J,67,68,56,337640
"Sugar, We're Goin Down",Fall Out Boy,68,80,81,229093
Who Says You Can't Go Home,Bon Jovi,71,58,81,230280
Too Little Too Late,JoJo,72,75,65,221720
Touch It,Busta Rhymes,73,61,73,214960
Rompe,Daddy Yankee,74,78,88,188626
Life is a Highway,Rascal Flatts,76,76,72,276320
Call Me When You're Sober,Evanescence,77,74,78,214706
"Jesus, Take the Wheel",Carrie Underwood,78,65,73,226493
Show Stopper,Danity Kane,79,58,49,229240
We Be Burnin',Sean Paul,81,71,84,215213
Hate Me,Blue October,82,62,58,380200
You And Me,Lifehouse,83,78,67,195493
Beep (As Made Famous By The Pussycat Dolls featuring Will.I.Am),The Karaoke Crew,84,0,19,250586
Say Goodbye,Chris Brown,86,73,90,289760
Waiting On the World to Change,John Mayer,87,77,78,201173
Pump It,Black Eyed Peas,89,82,83,213066
When I'm Gone,Eminem,90,65,92,281120
Hung Up,Madonna,91,80,81,337733
Love,Keyshia Cole,93,83,71,255333
When You're Mad,Ne-Yo,94,60,83,222000
Why You Wanna,T.I.,95,57,78,215000
Stupid Girls,P!nk,96,57,82,197173
Feel Good Inc.,Gorillaz,97,90,83,222640
I'm Sprung,T-Pain,98,75,81,231040
Do I Make You Proud,Taylor Hicks,99,28,23,248693
