Rank,Title,Artist,Year
1,Bad Day,Daniel Powter,2006
2,Temperature,Sean Paul,2006
3,Promiscuous,Nelly Furtado Featuring Timbaland,2006
4,You're Beautiful,James Blunt,2006
5,Hips Don't Lie,Shakira Featuring Wyclef Jean,2006
6,Unwritten,Natasha Bedingfield,2006
7,Crazy,Gnarls Barkley,2006
8,Ridin',Chamillionaire Featuring Krayzie Bone,2006
9,SexyBack,Justin Timberlake,2006
10,Check On It,Beyonce Featuring Slim Thug,2006
11,Be Without You,Mary J. Blige,2006
12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006
13,Over My Head (Cable Car),The Fray,2006
14,Me & U,Cassie,2006
15,Buttons,The Pussycat Dolls Featuring Snoop Dogg,2006
16,Run It!,Chris Brown,2006
17,So Sick,Ne-Yo,2006
18,It's Goin' Down,Yung Joc,2006
19,SOS,Rihanna,2006
20,I Write Sins Not Tragedies,Panic! At The Disco,2006
21,Move Along,The All-American Rejects,2006
22,London Bridge,Fergie,2006
23,Dani California,Red Hot Chili Peppers,2006
24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006
26,What Hurts The Most,Rascal Flatts,2006
27,How To Save A Life,The Fray,2006
28,Unfaithful,Rihanna,2006
29,Chasing Cars,Snow Patrol,2006
30,Lips Of An Angel,Hinder,2006
31,Everytime We Touch,Cascada,2006
32,Ain't No Other Man,Christina Aguilera,2006
33,"Dance, Dance",Fall Out Boy,2006
34,Gold Digger,Kanye West Featuring Jamie Foxx,2006
35,Money Maker,Ludacris Featuring Pharrell,2006
36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006
37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole,2006
38,Photograph,Nickelback,2006
39,Because Of You,Kelly Clarkson,2006
40,Stickwitu,The Pussycat Dolls,2006
41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006
42,My Humps,The Black Eyed Peas,2006
43,Where'd You Go,Fort Minor Featuring Holly Brook,2006
44,Yo (Excuse Me Miss),Chris Brown,2006
45,Walk Away,Kelly Clarkson,2006
46,Laffy Taffy,D4L,2006
47,What You Know,T.I.,2006
48,Dirty Little Secret,The All-American Rejects,2006
49,Savin' Me,Nickelback,2006
50,Don't Forget About Us,Mariah Carey,2006
51,Sexy Love,Ne-Yo,2006
52,U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006
53,Far Away,Nickelback,2006
54,What's Left Of Me,Nick Lachey,2006
55,So What,Field Mob Featuring Ciara,2006
56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,2006
57,Black Horse & The Cherry Tree,KT Tunstall,2006
58,There It Go! (The Whistle Song),Juelz Santana,2006
59,Shoulder Lean,Young Dro Featuring T.I.,2006
60,Unpredictable,Jamie Foxx Featuring Ludacris,2006
61,My Love,Justin Timberlake Featuring T.I.,2006
62,Shake That,Eminem Featuring Nate Dogg,2006
63,Pullin' Me Back,Chingy Featuring Tyrese,2006
64,Bossy,Kelis Featuring Too $hort,2006
65,Chain Hang Low,Jibbs,2006
66,Smack That,Akon Featuring Eminem,2006
67,One Wish,Ray J,2006
68,"Sugar, We're Goin' Down",Fall Out Boy,2006
69,Gimme That,Chris Brown Featuring Lil Wayne,2006
70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006
71,Who Says You Can't Go Home,Bon Jovi,2006
72,Too Little Too Late,JoJo,2006
73,Touch It,Busta Rhymes,2006
74,Rompe,Daddy Yankee,2006
75,Deja Vu,Beyonce Featuring Jay Z,2006
76,Life Is A Highway,Rascal Flatts,2006
77,Call Me When You're Sober,Evanescence,2006
78,"Jesus, Take The Wheel",Carrie Underwood,2006
79,Show Stopper,Danity Kane,2006
80,Get Up,Ciara Featuring Chamillionaire,2006
81,We Be Burnin',Sean Paul,2006
82,Hate Me,Blue October,2006
83,You And Me,Lifehouse,2006
84,Beep,The Pussycat Dolls Featuring will.i.am,2006
85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006
86,Say Goodbye,Chris Brown,2006
87,Waiting On The World To Change,John Mayer,2006
88,Soul Survivor,Young Jeezy Featuring Akon,2006
89,Pump It,The Black Eyed Peas,2006
90,When I'm Gone,Eminem,2006
91,Hung Up,Madonna,2006
92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006
93,Love,Keyshia Cole,2006
94,When You're Mad,Ne-Yo,2006
95,Why You Wanna,T.I.,2006
96,Stupid Girls,P!nk,2006
97,Feel Good Inc,Gorillaz,2006
98,I'm Sprung,T-Pain,2006
99,Do I Make You Proud,Taylor Hicks,2006
100,For You I Will (Confidence),Teddy Geiger,2006
